participant_ID,treatment,part,trial_no,rounds,red_prior_prob,current_rounds,action_type,suspect,count_red_samples,count_blue_samples,evidence_found,evidence_suspect,true_guilty_suspect,suspect_accused
2.0,0.0,1.0,15.0,7.0,0.5,2,0,1.0,0,1,1,1,0.0,0.0
2.0,0.0,1.0,15.0,7.0,0.5,3,0,1.0,0,2,1,1,0.0,0.0
2.0,0.0,1.0,15.0,7.0,0.5,4,0,1.0,0,3,1,1,0.0,0.0
2.0,0.0,1.0,15.0,7.0,0.5,5,0,1.0,0,4,1,1,0.0,0.0
2.0,0.0,1.0,15.0,7.0,0.5,6,0,0.0,0,5,1,1,0.0,0.0
2.0,0.0,1.0,15.0,7.0,0.5,7,0,0.0,1,5,1,1,0.0,0.0
2.0,0.0,1.0,15.0,7.0,0.5,7,1,0.0,2,5,0,-1,0.0,0.0
2.0,0.0,1.0,16.0,3.0,0.1,1,0,1.0,0,0,1,1,1.0,1.0
2.0,0.0,1.0,16.0,3.0,0.1,2,0,1.0,0,1,1,1,1.0,1.0
2.0,0.0,1.0,16.0,3.0,0.1,3,0,1.0,0,2,1,1,1.0,1.0
2.0,0.0,1.0,16.0,3.0,0.1,3,1,1.0,0,3,0,-1,1.0,1.0
2.0,0.0,1.0,17.0,7.0,0.9,1,0,0.0,0,0,1,1,0.0,0.0
2.0,0.0,1.0,17.0,7.0,0.9,2,0,0.0,1,0,1,1,0.0,0.0
2.0,0.0,1.0,17.0,7.0,0.9,3,0,0.0,2,0,1,0,0.0,0.0
2.0,0.0,1.0,17.0,7.0,0.9,4,0,0.0,3,0,1,1,0.0,0.0
2.0,0.0,1.0,17.0,7.0,0.9,5,0,0.0,4,0,1,1,0.0,0.0
2.0,0.0,1.0,17.0,7.0,0.9,6,0,0.0,5,0,1,1,0.0,0.0
2.0,0.0,1.0,17.0,7.0,0.9,7,0,0.0,6,0,1,1,0.0,0.0
2.0,0.0,1.0,17.0,7.0,0.9,7,1,0.0,7,0,0,-1,0.0,0.0
2.0,0.0,1.0,18.0,9.0,0.7,1,0,0.0,0,0,1,1,0.0,0.0
2.0,0.0,1.0,18.0,9.0,0.7,2,0,0.0,1,0,1,1,0.0,0.0
2.0,0.0,1.0,18.0,9.0,0.7,3,0,0.0,2,0,1,0,0.0,0.0
2.0,0.0,1.0,18.0,9.0,0.7,4,0,0.0,3,0,1,1,0.0,0.0
2.0,0.0,1.0,18.0,9.0,0.7,5,0,0.0,4,0,1,1,0.0,0.0
2.0,0.0,1.0,18.0,9.0,0.7,6,0,0.0,5,0,1,1,0.0,0.0
2.0,0.0,1.0,18.0,9.0,0.7,7,0,0.0,6,0,1,1,0.0,0.0
2.0,0.0,1.0,18.0,9.0,0.7,8,0,0.0,7,0,1,1,0.0,0.0
