,participant_ID,treatment,block_progressive_ID,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,trial_ID_block,left-0-right
46,13,1,1,5,3,2,47,4,87.0,89.0,84.0,88.0,40.0,85.0,80.0,86.0,74.0,63.0,59.0,64.0,475.0,424.0,650.6374999999941,0,1,,,,,47,2
47,13,1,1,5,3,2,48,1,84.0,68.0,87.0,47.0,53.0,58.0,43.0,70.0,31.0,87.0,30.0,53.0,328.0,383.0,1017.6696000000287,0,0,,,,,48,1
48,13,1,1,5,3,2,49,1,65.0,78.0,88.0,88.0,53.0,62.0,59.0,59.0,72.0,49.0,90.0,44.0,427.0,380.0,2068.1339999999327,0,1,,,,,49,1
49,13,1,1,5,3,2,50,1,75.0,38.0,87.0,83.0,52.0,68.0,27.0,72.0,78.0,70.0,84.0,67.0,403.0,398.0,1717.7076000000004,0,1,,,,,50,1
50,13,1,2,3,1,1,51,1,75.0,76.0,46.0,70.0,86.0,39.0,18.0,75.0,64.0,42.0,80.0,72.0,392.0,351.0,884.1026000001001,0,1,,,,,1,1
51,13,1,2,3,1,1,52,4,69.0,73.0,82.0,58.0,34.0,49.0,85.0,72.0,68.0,77.0,68.0,70.0,365.0,440.0,683.9212999999753,0,0,,,,,2,2
52,13,1,2,3,1,1,53,1,64.0,86.0,26.0,59.0,32.0,18.0,65.0,27.0,43.0,87.0,64.0,75.0,285.0,361.0,1067.472499999963,0,0,,,,,3,1
53,13,1,2,3,1,1,54,4,42.0,79.0,69.0,84.0,36.0,44.0,81.0,35.0,86.0,77.0,77.0,79.0,354.0,435.0,817.5007999998636,0,0,,,,,4,2
54,13,1,2,3,1,1,55,1,86.0,88.0,19.0,79.0,60.0,59.0,43.0,71.0,63.0,43.0,12.0,80.0,391.0,312.0,1301.1784999997933,0,1,,,,,5,1
55,13,1,2,3,1,1,56,2,18.0,45.0,77.0,59.0,79.0,74.0,74.0,64.0,52.0,82.0,75.0,59.0,352.0,406.0,900.6848999999927,0,0,,,,,6,2
56,13,1,2,3,1,1,57,4,81.0,50.0,72.0,36.0,83.0,84.0,76.0,78.0,29.0,66.0,90.0,37.0,406.0,376.0,1084.120699999924,0,1,,,,,7,2
57,13,1,2,3,1,1,58,4,45.0,75.0,89.0,66.0,90.0,83.0,41.0,77.0,64.0,34.0,24.0,66.0,448.0,306.0,300.3102000000189,0,1,,,,,8,2
58,13,1,2,3,1,1,59,2,74.0,79.0,85.0,81.0,80.0,56.0,79.0,42.0,70.0,79.0,73.0,77.0,455.0,420.0,1417.8655000001772,0,1,,,,,9,2
59,13,1,2,3,1,1,60,2,64.0,39.0,22.0,40.0,80.0,85.0,69.0,61.0,81.0,41.0,57.0,54.0,330.0,363.0,3886.47409999992,0,0,,,,,10,2
60,13,1,2,3,1,1,61,3,70.0,81.0,77.0,49.0,84.0,73.0,47.0,58.0,73.0,25.0,81.0,81.0,434.0,365.0,4120.421600000107,0,1,,,,,11,1
61,13,1,2,3,1,1,62,4,87.0,45.0,64.0,49.0,38.0,87.0,22.0,90.0,64.0,63.0,59.0,58.0,370.0,356.0,4236.192900000082,0,1,,,,,12,2
62,13,1,2,3,1,1,63,1,48.0,54.0,74.0,45.0,27.0,85.0,77.0,77.0,79.0,55.0,42.0,55.0,333.0,385.0,1199.2905999999844,0,0,,,,,13,1
63,13,1,2,3,1,1,64,2,72.0,19.0,89.0,50.0,62.0,86.0,40.0,28.0,84.0,51.0,64.0,21.0,378.0,288.0,1917.916000000004,0,1,,,,,14,2
64,13,1,2,3,1,1,65,1,35.0,81.0,86.0,59.0,56.0,83.0,57.0,42.0,39.0,48.0,64.0,76.0,400.0,326.0,600.4574000001185,0,1,,,,,15,1
65,13,1,2,3,1,1,66,4,40.0,28.0,84.0,51.0,64.0,21.0,72.0,19.0,89.0,50.0,62.0,86.0,288.0,378.0,2602.2314999998666,0,0,,,,,16,2
66,13,1,2,3,1,1,67,2,72.0,57.0,82.0,85.0,54.0,69.0,81.0,60.0,78.0,37.0,61.0,57.0,419.0,374.0,767.0554999999703,0,1,,,,,17,2
67,13,1,2,3,1,1,68,1,47.0,58.0,73.0,25.0,81.0,81.0,70.0,81.0,77.0,49.0,84.0,73.0,365.0,434.0,1617.8317000001084,0,0,,,,,18,1
68,13,1,2,3,1,1,69,1,28.0,83.0,47.0,71.0,50.0,61.0,41.0,49.0,75.0,87.0,75.0,78.0,340.0,405.0,2351.731499999762,0,0,,,,,19,1
69,13,1,2,3,1,1,70,1,81.0,80.0,88.0,59.0,69.0,64.0,57.0,73.0,56.0,24.0,64.0,80.0,441.0,354.0,1034.190400000161,0,1,,,,,20,1
70,13,1,2,3,1,1,71,1,18.0,30.0,49.0,58.0,53.0,76.0,71.0,72.0,88.0,64.0,22.0,83.0,284.0,400.0,2485.1093999997847,0,0,,,,,21,1
71,13,1,2,3,1,1,72,4,74.0,63.0,60.0,85.0,65.0,61.0,42.0,43.0,75.0,61.0,44.0,82.0,408.0,347.0,3919.693699999794,0,1,,,,,22,2
72,13,1,2,3,1,1,73,3,77.0,77.0,79.0,55.0,42.0,55.0,48.0,54.0,74.0,45.0,27.0,85.0,385.0,333.0,533.7902999999932,0,1,,,,,23,1
73,13,1,2,3,1,1,74,3,37.0,83.0,85.0,84.0,87.0,72.0,90.0,56.0,64.0,61.0,66.0,77.0,448.0,414.0,1634.6207999997305,0,1,,,,,24,1
74,13,1,2,3,1,1,75,2,53.0,67.0,88.0,65.0,62.0,87.0,81.0,76.0,74.0,85.0,44.0,83.0,422.0,443.0,2018.2780000000726,0,0,,,,,25,2
75,13,1,2,3,1,1,76,1,50.0,86.0,79.0,50.0,82.0,63.0,75.0,66.0,56.0,81.0,38.0,65.0,410.0,381.0,2335.2598999999245,0,1,,,,,26,1
76,13,1,2,3,1,1,77,1,57.0,11.0,89.0,90.0,72.0,64.0,68.0,58.0,27.0,39.0,85.0,80.0,383.0,357.0,2051.68140000007,0,1,,,,,27,1
77,13,1,2,3,1,1,78,4,57.0,67.0,61.0,89.0,82.0,67.0,82.0,83.0,32.0,73.0,63.0,90.0,423.0,423.0,1185.8330000001476,0,1,,,,,28,2
78,13,1,2,3,1,1,79,1,47.0,86.0,30.0,79.0,59.0,41.0,57.0,79.0,65.0,67.0,89.0,33.0,342.0,390.0,3437.2556000002305,0,0,,,,,29,1
79,13,1,2,3,1,1,80,2,76.0,78.0,29.0,66.0,90.0,37.0,81.0,50.0,72.0,36.0,83.0,84.0,376.0,406.0,1901.6457000000287,0,0,,,,,30,2
80,13,1,2,3,1,1,81,3,41.0,49.0,75.0,87.0,75.0,78.0,28.0,83.0,47.0,71.0,50.0,61.0,405.0,340.0,1718.2322999999406,0,1,,,,,31,1
81,13,1,2,3,1,1,82,3,90.0,75.0,65.0,81.0,47.0,33.0,67.0,88.0,61.0,28.0,36.0,74.0,391.0,354.0,1367.4014999999554,0,1,,,,,32,1
82,13,1,2,3,1,1,83,1,72.0,48.0,54.0,77.0,81.0,80.0,65.0,57.0,66.0,81.0,57.0,29.0,412.0,355.0,1836.6735999999576,0,1,,,,,33,1
83,13,1,2,3,1,1,84,4,74.0,64.0,52.0,82.0,75.0,59.0,18.0,45.0,77.0,59.0,79.0,74.0,406.0,352.0,2100.0106999998206,0,1,,,,,34,2
84,13,1,2,3,1,1,85,3,68.0,58.0,27.0,39.0,85.0,80.0,57.0,11.0,89.0,90.0,72.0,64.0,357.0,383.0,1868.0889999998728,0,0,,,,,35,1
85,13,1,2,3,1,1,86,4,33.0,67.0,83.0,30.0,89.0,62.0,31.0,60.0,29.0,90.0,65.0,52.0,364.0,327.0,3219.3024999999425,0,1,,,,,36,2
86,13,1,2,3,1,1,87,4,69.0,61.0,81.0,41.0,57.0,54.0,64.0,39.0,22.0,40.0,80.0,85.0,363.0,330.0,2402.2773999997635,0,1,,,,,37,2
87,13,1,2,3,1,1,88,1,67.0,88.0,61.0,28.0,36.0,74.0,90.0,75.0,65.0,81.0,47.0,33.0,354.0,391.0,3936.126499999869,0,0,,,,,38,1
88,13,1,2,3,1,1,89,1,49.0,68.0,35.0,34.0,62.0,84.0,25.0,76.0,57.0,61.0,70.0,56.0,332.0,345.0,800.8159999999683,0,0,,,,,39,1
89,13,1,2,3,1,1,90,2,44.0,49.0,85.0,52.0,34.0,50.0,62.0,58.0,41.0,88.0,76.0,87.0,314.0,412.0,2284.925099999807,0,0,,,,,40,2
90,13,1,2,3,1,1,91,4,81.0,60.0,78.0,37.0,61.0,57.0,72.0,57.0,82.0,85.0,54.0,69.0,374.0,419.0,1100.9438999998847,0,0,,,,,41,2
91,13,1,2,3,1,1,92,4,83.0,78.0,85.0,50.0,41.0,44.0,66.0,63.0,47.0,53.0,30.0,73.0,381.0,332.0,600.5528999999162,0,1,,,,,42,2
92,13,1,2,3,1,1,93,4,62.0,58.0,41.0,88.0,76.0,87.0,44.0,49.0,85.0,52.0,34.0,50.0,412.0,314.0,967.333599999978,0,1,,,,,43,2
93,13,1,2,3,1,1,94,4,81.0,76.0,74.0,85.0,44.0,83.0,53.0,67.0,88.0,65.0,62.0,87.0,443.0,422.0,650.6934999998541,0,1,,,,,44,2
94,13,1,2,3,1,1,95,3,57.0,79.0,65.0,67.0,89.0,33.0,47.0,86.0,30.0,79.0,59.0,41.0,390.0,342.0,3786.558899999699,0,1,,,,,45,1
95,13,1,2,3,1,1,96,4,45.0,89.0,86.0,38.0,71.0,14.0,71.0,40.0,49.0,58.0,87.0,30.0,343.0,335.0,783.9602999999423,0,1,,,,,46,2
96,13,1,2,3,1,1,97,4,69.0,83.0,72.0,75.0,82.0,79.0,58.0,26.0,69.0,46.0,54.0,87.0,460.0,340.0,3537.657999999973,0,1,,,,,47,2
97,13,1,2,3,1,1,98,2,83.0,68.0,90.0,34.0,38.0,69.0,68.0,65.0,89.0,44.0,23.0,82.0,382.0,371.0,8405.570100000592,0,1,,,,,48,2
98,13,1,2,3,1,1,99,2,82.0,83.0,32.0,73.0,63.0,90.0,57.0,67.0,61.0,89.0,82.0,67.0,423.0,423.0,2901.8855999998505,0,1,,,,,49,2
99,13,1,2,3,1,1,100,4,89.0,69.0,62.0,68.0,59.0,31.0,58.0,69.0,69.0,41.0,62.0,66.0,378.0,365.0,2068.5085999999897,0,1,,,,,50,2
100,13,1,3,1,2,1,101,0,78.0,58.0,28.0,88.0,75.0,69.0,85.0,55.0,76.0,90.0,54.0,35.0,396.0,395.0,1668.0422999998086,0,1,,,,,1,0
101,13,1,3,1,2,1,102,0,56.0,76.0,45.0,76.0,73.0,72.0,77.0,80.0,66.0,12.0,69.0,50.0,398.0,354.0,400.4740000001854,0,1,,,,,2,0
102,13,1,3,1,2,1,103,0,59.0,65.0,85.0,74.0,45.0,69.0,34.0,34.0,54.0,68.0,36.0,75.0,397.0,301.0,2135.2799000000346,0,1,,,,,3,0
103,13,1,3,1,2,1,104,0,63.0,73.0,35.0,82.0,40.0,79.0,87.0,69.0,82.0,88.0,74.0,90.0,372.0,490.0,200.1747000000439,0,0,,,,,4,0
104,13,1,3,1,2,1,105,0,85.0,55.0,76.0,90.0,54.0,35.0,78.0,58.0,28.0,88.0,75.0,69.0,395.0,396.0,205.18380000006874,0,0,,,,,5,0
105,13,1,3,1,2,1,106,0,83.0,74.0,80.0,40.0,74.0,79.0,54.0,26.0,87.0,54.0,82.0,73.0,430.0,376.0,967.6967999998246,0,1,,,,,6,0
106,13,1,3,1,2,1,107,0,39.0,50.0,79.0,71.0,85.0,55.0,51.0,63.0,75.0,15.0,49.0,32.0,379.0,285.0,200.16160000001545,0,1,,,,,7,0
107,13,1,3,1,2,1,108,0,36.0,24.0,84.0,49.0,47.0,72.0,87.0,87.0,83.0,66.0,89.0,36.0,312.0,448.0,2435.3302999998195,0,0,,,,,8,0
108,13,1,3,1,2,1,109,0,74.0,40.0,59.0,66.0,76.0,89.0,85.0,78.0,61.0,66.0,75.0,67.0,404.0,432.0,200.22129999995232,0,0,,,,,9,0
109,13,1,3,1,2,1,110,0,89.0,83.0,50.0,85.0,55.0,36.0,77.0,82.0,79.0,67.0,36.0,73.0,398.0,414.0,200.0541000000433,0,0,,,,,10,0
110,13,1,3,1,2,1,111,0,45.0,76.0,25.0,43.0,43.0,37.0,59.0,89.0,31.0,66.0,82.0,68.0,269.0,395.0,200.1849999998929,0,0,,,,,11,0
111,13,1,3,1,2,1,112,0,64.0,90.0,78.0,47.0,69.0,40.0,60.0,80.0,72.0,65.0,69.0,26.0,388.0,372.0,283.6222000002396,0,1,,,,,12,0
112,13,1,3,1,2,1,113,0,53.0,90.0,89.0,89.0,63.0,34.0,26.0,71.0,79.0,90.0,51.0,16.0,418.0,333.0,633.7510000000707,0,1,,,,,13,0
113,13,1,3,1,2,1,114,0,79.0,73.0,90.0,68.0,79.0,59.0,62.0,71.0,88.0,56.0,82.0,64.0,448.0,423.0,233.61319999992853,0,1,,,,,14,0
114,13,1,3,1,2,1,115,0,85.0,63.0,32.0,85.0,62.0,49.0,39.0,33.0,31.0,82.0,73.0,66.0,376.0,324.0,633.8238999999129,0,1,,,,,15,0
115,13,1,3,1,2,1,116,0,59.0,83.0,71.0,80.0,44.0,83.0,67.0,52.0,89.0,46.0,77.0,15.0,420.0,346.0,1717.7506999999055,0,1,,,,,16,0
116,13,1,3,1,2,1,117,0,84.0,41.0,38.0,43.0,84.0,81.0,80.0,71.0,54.0,55.0,14.0,79.0,371.0,353.0,2218.5542999991912,0,1,,,,,17,0
117,13,1,3,1,2,1,118,0,72.0,84.0,18.0,69.0,53.0,65.0,67.0,78.0,13.0,89.0,74.0,74.0,361.0,395.0,4340.253400000042,0,0,,,,,18,0
118,13,1,3,1,2,1,119,0,64.0,67.0,52.0,89.0,79.0,39.0,54.0,31.0,81.0,85.0,57.0,76.0,390.0,384.0,2822.1317000003532,0,1,,,,,19,0
