,participant_ID,treatment,block_progressive_ID,trial_ID_in_block,left-0-right,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
42,7,1,2,13,2,3,1,1,43,4,62.0,77.0,75.0,71.0,76.0,88.0,87.0,66.0,50.0,90.0,70.0,76.0,449.0,439.0,1222.7448999998858,0,1,,,,
43,7,1,2,14,2,3,1,1,44,4,64.0,24.0,73.0,50.0,87.0,72.0,80.0,85.0,85.0,69.0,54.0,83.0,370.0,456.0,460.2037000002106,1,1,,,,
44,7,1,2,15,1,3,1,1,45,3,66.0,73.0,75.0,82.0,29.0,56.0,89.0,63.0,72.0,55.0,86.0,22.0,381.0,387.0,563.385999999917,1,1,,,,
45,7,1,2,16,1,3,1,1,46,1,81.0,77.0,68.0,85.0,37.0,65.0,84.0,22.0,81.0,73.0,45.0,75.0,413.0,380.0,235.78369999998245,0,1,,,,
46,7,1,2,17,1,3,1,1,47,3,84.0,22.0,81.0,73.0,45.0,75.0,81.0,77.0,68.0,85.0,37.0,65.0,380.0,413.0,573.7822999997529,0,0,,,,
47,7,1,2,18,1,3,1,1,48,1,71.0,28.0,77.0,56.0,89.0,84.0,83.0,32.0,30.0,53.0,84.0,30.0,405.0,312.0,498.8804000000703,0,1,,,,
48,7,1,2,19,1,3,1,1,49,3,70.0,43.0,59.0,46.0,65.0,71.0,66.0,70.0,82.0,73.0,78.0,68.0,354.0,437.0,308.48799999980264,1,1,,,,
49,7,1,2,20,2,3,1,1,50,4,87.0,36.0,24.0,44.0,47.0,86.0,74.0,70.0,77.0,80.0,86.0,53.0,324.0,440.0,393.0250000000465,1,1,,,,
50,7,1,2,21,2,3,1,1,51,4,75.0,61.0,69.0,40.0,48.0,70.0,74.0,63.0,88.0,75.0,61.0,89.0,363.0,450.0,285.81620000002437,1,1,,,,
51,7,1,2,22,2,3,1,1,52,2,89.0,75.0,38.0,85.0,35.0,68.0,23.0,79.0,55.0,76.0,82.0,60.0,390.0,375.0,201.60200000007168,0,1,,,,
52,7,1,2,23,2,3,1,1,53,2,80.0,85.0,85.0,69.0,54.0,83.0,64.0,24.0,73.0,50.0,87.0,72.0,456.0,370.0,387.43840000000785,0,1,,,,
53,7,1,2,24,1,3,1,1,54,1,56.0,82.0,74.0,65.0,42.0,90.0,14.0,25.0,57.0,84.0,58.0,74.0,409.0,312.0,422.4150999999839,0,1,,,,
54,7,1,2,25,2,3,1,1,55,2,69.0,79.0,60.0,39.0,89.0,81.0,76.0,85.0,68.0,90.0,74.0,66.0,417.0,459.0,664.2528999999631,1,1,,,,
55,7,1,2,26,1,3,1,1,56,1,89.0,63.0,72.0,55.0,86.0,22.0,66.0,73.0,75.0,82.0,29.0,56.0,387.0,381.0,640.0231000002473,1,0,,,,
56,7,1,2,27,2,3,1,1,57,2,51.0,85.0,70.0,74.0,88.0,86.0,36.0,47.0,58.0,43.0,81.0,51.0,454.0,316.0,397.26049999999816,0,1,,,,
57,7,1,2,28,1,3,1,1,58,1,19.0,55.0,70.0,89.0,33.0,82.0,53.0,76.0,74.0,52.0,64.0,24.0,348.0,343.0,898.532699999935,1,0,,,,
58,7,1,2,29,1,3,1,1,59,1,85.0,71.0,89.0,69.0,81.0,70.0,60.0,84.0,81.0,87.0,80.0,69.0,465.0,461.0,275.30249999999074,1,0,,,,
59,7,1,2,30,1,3,1,1,60,3,49.0,55.0,90.0,87.0,27.0,32.0,89.0,50.0,56.0,45.0,58.0,34.0,340.0,332.0,235.80209999992508,1,0,,,,
60,7,1,3,1,0,1,2,1,61,0,26.0,88.0,86.0,69.0,80.0,46.0,84.0,56.0,80.0,74.0,83.0,90.0,395.0,467.0,899.9708999999331,1,1,,,,
61,7,1,3,2,0,1,2,1,62,0,56.0,90.0,26.0,80.0,84.0,75.0,71.0,85.0,89.0,24.0,74.0,72.0,411.0,415.0,399.986600000551,0,0,,,,
62,7,1,3,3,0,1,2,1,63,0,64.0,31.0,50.0,63.0,66.0,76.0,86.0,81.0,67.0,68.0,90.0,66.0,350.0,458.0,466.65909999953584,1,1,,,,
63,7,1,3,4,0,1,2,1,64,0,86.0,46.0,40.0,78.0,61.0,48.0,77.0,71.0,56.0,85.0,68.0,35.0,359.0,392.0,1783.3070000006821,0,0,,,,
64,7,1,3,5,0,1,2,1,65,0,78.0,69.0,25.0,60.0,51.0,76.0,85.0,50.0,70.0,71.0,83.0,61.0,359.0,420.0,583.3248000000137,0,0,,,,
65,7,1,3,6,0,1,2,1,66,0,72.0,18.0,76.0,82.0,75.0,77.0,45.0,56.0,80.0,74.0,55.0,87.0,400.0,397.0,433.32769999965103,1,0,,,,
66,7,1,3,7,0,1,2,1,67,0,74.0,81.0,69.0,87.0,72.0,69.0,64.0,82.0,70.0,81.0,62.0,39.0,452.0,398.0,466.659700000286,1,0,,,,
67,7,1,3,8,0,1,2,1,68,0,89.0,48.0,47.0,65.0,89.0,41.0,62.0,90.0,41.0,90.0,89.0,37.0,379.0,409.0,1433.3118000001184,0,0,,,,
68,7,1,3,9,0,1,2,1,69,0,85.0,50.0,70.0,71.0,83.0,61.0,78.0,69.0,25.0,60.0,51.0,76.0,420.0,359.0,2633.2924000007565,1,0,,,,
69,7,1,3,10,0,1,2,1,70,0,89.0,70.0,87.0,67.0,62.0,32.0,65.0,58.0,81.0,36.0,54.0,40.0,407.0,334.0,699.9900000000372,0,1,,,,
70,7,1,3,11,0,1,2,1,71,0,25.0,88.0,83.0,90.0,78.0,71.0,78.0,79.0,60.0,13.0,87.0,52.0,435.0,369.0,449.992999999458,0,1,,,,
71,7,1,3,12,0,1,2,1,72,0,60.0,73.0,80.0,54.0,88.0,48.0,71.0,71.0,87.0,85.0,56.0,84.0,403.0,454.0,483.326099999808,1,1,,,,
72,7,1,3,13,0,1,2,1,73,0,88.0,77.0,23.0,73.0,69.0,80.0,83.0,57.0,84.0,87.0,60.0,48.0,410.0,419.0,800.0013999994379,0,0,,,,
73,7,1,3,14,0,1,2,1,74,0,61.0,73.0,83.0,73.0,87.0,65.0,43.0,34.0,12.0,66.0,65.0,70.0,442.0,290.0,433.3336000005249,0,1,,,,
74,7,1,3,15,0,1,2,1,75,0,25.0,58.0,37.0,64.0,57.0,32.0,60.0,57.0,78.0,27.0,84.0,73.0,273.0,379.0,449.98459999994367,1,1,,,,
75,7,1,3,16,0,1,2,1,76,0,52.0,75.0,50.0,65.0,53.0,70.0,75.0,45.0,70.0,57.0,26.0,84.0,365.0,357.0,616.6685999999289,1,0,,,,
