block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
sim-numbers,up,0,89,48,47,65,89,41,62,90,41,90,89,37,379,409,1433.3118000001184,left,false,false,,,,
sim-numbers,up,0,85,50,70,71,83,61,78,69,25,60,51,76,420,359,2633.2924000007565,right,false,false,,,,
sim-numbers,up,0,89,70,87,67,62,32,65,58,81,36,54,40,407,334,699.9900000000372,left,true,true,,,,
sim-numbers,up,0,25,88,83,90,78,71,78,79,60,13,87,52,435,369,449.992999999458,left,true,true,,,,
sim-numbers,up,0,60,73,80,54,88,48,71,71,87,85,56,84,403,454,483.32609999980787,right,true,true,,,,
sim-numbers,up,0,88,77,23,73,69,80,83,57,84,87,60,48,410,419,800.0013999994379,left,false,false,,,,
sim-numbers,up,0,61,73,83,73,87,65,43,34,12,66,65,70,442,290,433.3336000005249,left,true,true,,,,
sim-numbers,up,0,25,58,37,64,57,32,60,57,78,27,84,73,273,379,449.9845999999437,right,true,true,,,,
sim-numbers,up,0,52,75,50,65,53,70,75,45,70,57,26,84,365,357,616.6685999999289,right,false,false,,,,
sim-numbers,up,0,73,65,64,71,58,64,79,64,63,85,79,81,395,451,416.6430000002962,right,true,true,,,,
sim-numbers,up,0,67,56,43,55,52,28,63,37,87,57,89,68,301,401,383.3143999999389,right,true,true,,,,
sim-numbers,up,0,78,79,60,13,87,52,25,88,83,90,78,71,369,435,466.64660000056045,right,true,true,,,,
sim-numbers,up,0,47,32,72,53,86,67,79,35,70,53,67,69,357,373,466.64690000060943,right,true,true,,,,
sim-numbers,up,0,68,52,50,89,65,89,58,55,72,84,82,71,413,422,399.9979000000282,right,true,true,,,,
sim-numbers,up,0,79,64,63,85,79,81,73,65,64,71,58,64,451,395,783.3211999997961,left,true,true,,,,
sim-numbers,up,0,62,67,29,84,44,71,41,72,46,31,33,50,357,273,366.66099999994043,left,true,true,,,,
sim-numbers,up,0,86,20,55,47,76,37,90,76,56,47,83,53,321,405,416.6599000004119,right,true,true,,,,
sim-numbers,up,0,52,55,57,42,87,28,18,85,76,58,62,14,321,313,1116.6498999998437,right,false,false,,,,
sim-numbers,up,0,67,68,72,25,47,90,78,87,48,53,19,36,369,321,366.6620000001975,left,true,true,,,,
sim-numbers,up,0,80,32,53,27,83,90,38,67,88,57,63,62,365,375,383.3276000000071,left,false,false,,,,
sim-numbers,up,0,45,56,80,74,55,87,72,18,76,82,75,77,397,400,416.66030000015155,left,false,false,,,,
sim-numbers,up,0,61,73,84,85,63,68,23,84,68,82,90,76,434,423,416.66009999988586,right,false,false,,,,
sim-numbers,up,0,51,81,52,83,82,69,25,90,79,73,75,66,418,408,449.99430000013683,left,true,true,,,,
sim-bars,up,0,41,72,46,31,33,50,62,67,29,84,44,71,273,357,916.6530000000726,right,true,true,,,,
sim-bars,up,0,87,46,61,90,50,34,61,45,80,88,78,76,368,428,216.66310000023805,right,true,true,,,,
sim-bars,up,0,78,87,48,53,19,36,67,68,72,25,47,90,321,369,399.99440000024634,right,true,true,,,,
sim-bars,up,0,63,34,78,26,14,51,68,78,78,72,76,25,266,397,383.3270000001415,right,true,true,,,,
sim-bars,up,0,84,56,80,74,83,90,26,88,86,69,80,46,467,395,216.66419999971987,left,true,true,,,,
sim-bars,up,0,90,55,44,70,86,63,74,73,69,79,61,84,408,440,433.32679999982946,right,true,true,,,,
sim-bars,up,0,78,63,32,50,88,89,76,90,80,90,88,87,400,511,483.32570000053374,right,true,true,,,,
sim-bars,up,0,78,58,78,85,45,47,62,80,65,66,76,85,391,434,416.6604999997654,right,true,true,,,,
sim-bars,up,0,64,82,70,81,62,39,74,81,69,87,72,69,398,452,499.9926000002771,right,true,true,,,,
sim-bars,up,0,61,85,76,81,61,80,86,65,64,62,83,65,444,425,799.9893000001553,right,false,false,,,,
sim-bars,up,0,42,70,21,64,90,44,79,54,90,61,38,51,331,373,416.6611000000965,right,true,true,,,,
sim-bars,up,0,65,26,52,65,37,64,48,69,75,40,46,75,309,353,483.32650000005964,right,true,true,,,,
sim-bars,up,0,90,76,56,47,83,53,86,20,55,47,76,37,405,321,399.99399999943574,left,true,true,,,,
sim-bars,up,0,58,55,72,84,82,71,68,52,50,89,65,89,422,413,649.9896000001581,left,true,true,,,,
sim-bars,up,0,63,37,87,57,89,68,67,56,43,55,52,28,401,301,349.9955000000075,left,true,true,,,,
sim-bars,up,0,25,90,79,73,75,66,51,81,52,83,82,69,408,418,883.3165999998338,right,true,true,,,,
sim-bars,up,0,75,45,70,57,26,84,52,75,50,65,53,70,357,365,549.9919999996201,right,true,true,,,,
sim-bars,up,0,77,73,60,71,62,81,68,65,62,47,58,85,424,385,483.3262000001035,left,true,true,,,,
sim-bars,up,0,90,59,54,60,68,69,87,63,58,51,50,65,400,374,483.32599999979135,left,true,true,,,,
sim-bars,up,0,71,71,87,85,56,84,60,73,80,54,88,48,454,403,449.99279999993735,left,true,true,,,,
sim-bars,up,0,62,80,65,66,76,85,78,58,78,85,45,47,434,391,349.9937000002246,left,true,true,,,,
sim-bars,up,0,79,54,90,61,38,51,42,70,21,64,90,44,373,331,533.3257000000217,left,true,true,,,,
sim-bars,up,0,60,20,51,68,38,19,63,37,90,84,63,75,256,412,366.66109999981717,right,true,true,,,,
sim-bars,up,0,87,63,58,51,50,65,90,59,54,60,68,69,374,400,783.3219999999737,right,true,true,,,,
sim-bars,up,0,71,85,89,24,74,72,56,90,26,80,84,75,415,411,2783.292300000601,left,true,true,,,,
sim-bars,up,0,48,81,34,31,68,38,83,75,77,63,73,82,300,453,1733.3068000003236,left,false,false,,,,
sim-bars,up,0,62,72,62,71,65,37,78,75,36,82,73,75,369,419,400.02529999981635,right,true,true,,,,
sim-bars,up,0,15,44,59,65,79,90,90,90,47,39,77,47,352,390,882.7942999997175,left,false,false,,,,
sim-bars,up,0,60,57,78,27,84,73,25,58,37,64,57,32,379,273,283.16040000002823,left,true,true,,,,
