,Unnamed: 0,Unnamed: 0.1,block_order,block_progressive_ID,block_stimuli,block_type,bonus_block_type,bonus_total,bonus_trial_correct,bonus_trial_number_chosen,choice_correct,choice_correct.1,left-0-right,participant_ID,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,side_chosen,start_position,total_left,total_right,treatment,trial_ID,trial_ID_block,waiting_elapsed
41,41.0,,0,0,2,6,,,,,1,1,1,1,38.0,19.0,28.0,16.0,24.0,19.0,19.0,23.0,74.0,22.0,19.0,27.0,1,1,144.0,184.0,2,0,0,500.2733999999821
42,42.0,,0,0,2,6,,,,,1,1,1,1,33.0,28.0,23.0,12.0,46.0,56.0,38.0,13.0,19.0,54.0,11.0,50.0,0,1,198.0,185.0,2,0,0,566.7460000000311
43,43.0,,0,0,2,6,,,,,1,1,2,1,20.0,59.0,36.0,29.0,52.0,12.0,35.0,37.0,24.0,24.0,37.0,13.0,0,4,208.0,170.0,2,0,0,416.7250000000351
44,44.0,,0,0,2,6,,,,,1,1,1,1,24.0,52.0,11.0,34.0,30.0,12.0,37.0,41.0,15.0,64.0,35.0,39.0,1,1,163.0,231.0,2,0,0,383.3869999999997
45,45.0,,0,0,2,6,,,,,1,1,1,1,29.0,81.0,48.0,85.0,66.0,49.0,30.0,77.0,35.0,51.0,23.0,18.0,1,3,234.0,358.0,2,0,0,566.7459999999846
46,46.0,,0,0,2,6,,,,,1,1,1,1,61.0,74.0,30.0,49.0,47.0,25.0,14.0,56.0,52.0,36.0,77.0,66.0,1,1,286.0,301.0,2,0,0,433.6514000000434
47,47.0,,0,0,2,6,,,,,1,1,1,1,33.0,22.0,11.0,29.0,27.0,66.0,23.0,29.0,29.0,11.0,60.0,70.0,0,3,222.0,188.0,2,0,0,500.0699999999605
48,48.0,,0,0,2,6,,,,,1,1,2,1,80.0,28.0,24.0,17.0,29.0,79.0,14.0,63.0,34.0,52.0,21.0,35.0,0,4,257.0,219.0,2,0,0,533.4080000000308
49,49.0,,0,0,2,6,,,,,0,0,2,1,36.0,60.0,34.0,10.0,13.0,85.0,14.0,45.0,65.0,49.0,49.0,40.0,0,4,238.0,262.0,2,0,0,433.3940000000178
50,50.0,,0,0,2,6,,,,,0,0,1,1,50.0,14.0,11.0,53.0,10.0,19.0,37.0,34.0,22.0,39.0,34.0,40.0,0,1,157.0,206.0,2,0,0,533.4079999999493
